item,g,calorie,carbo,protein,fat,price,pred1,pred2,pred3,pred4
표고버섯,50,0.31,0.108,0.039,0.004,18.57,0.16706445,0.15231446,0.10826054,0.15659261
도라지/더덕,50,0.56,0.13,0.017,0.0011,28,0.15054657,0.07798506,0.07389946,0.08494914
토마토,100,0.19,0.043,0.01,0.002,3.15,0.12757754,0.13954659,0.08650119,0.10560885
감자,100,0.7,0.16,0.02,0.0003,3,0.1249152,0.1173743,0.09816366,0.12257738
옥수수,100,1.64,0.34,0.048,0.016,16.6,0.0929791,0.08921345,0.18453471,0.09023561
고추/피망/파프리카,45,0.27,0.046,0.014,0.008,15.8,0.16133335,0.19348318,0.1153265,0.14014326
