item,g,calorie,carbo,protein,fat,price,pred1,pred2,pred3,pred4
계란,50,1.36,0.0341,0.1244,0.0737,5.54,0.12817862,0.19289706,0.18903548,0.18773576
돼지 곱창,100,2.5,0,0.2652,0.1596,16.6,0.17392754,0.09819927,0.18065811,0.17872637
소고기 육회,100,1.12,0.0237,0.1395,0.0487,35.67,0.12111028,0.14711425,0.14301641,0.14990889
