item,g,calorie,carbo,protein,fat,price,pred1,pred2,pred3,pred4
쌈채소,100,0.27,0.041,0.035,0.004,13.24,0.13231414,0.13426691,0.13231077,0.13351412
파/양파,50,0.3,0.067,0.012,0.002,1.32,0.1384038,0.1497697,0.15097958,0.13852975
양배추/양상추,50,0.33,0.0792,0.0168,0.0008,7.88,0.13737135,0.15764118,0.14620941,0.12326397
미나리,70,0.27,0.067,0.01,0.002,17.5,0.13509604,0.16114834,0.09870359,0.09826571
브로콜리/셀러리,100,0.32,0.0632,0.0308,0.002,11,0.14832579,0.12171663,0.11317991,0.11476592
시금치,100,0.33,0.06,0.031,0.005,8.5,0.42895023,0.23104781,-0.34693928,-0.01231079
부추,100,0.22,0.041,0.018,0.003,5.87,0.11702394,0.1688546,0.16839033,0.16792658
