item,g,calorie,carbo,protein,fat,price,pred1,pred2,pred3,pred4
미나리,70,0.27,0.067,0.01,0.002,17.5,0.37042885,0.32795458,-0.53895385,-0.10191737
오이/가지,100,0.14,0.0305,0.0122,0.0002,0.938,0.1418093,0.20383103,0.18955927,0.12878525
시금치,100,0.33,0.06,0.031,0.005,8.5,0.17919762,0.09031204,0.08601995,0.09932498
