item,g,calorie,carbo,protein,fat,price,pred1,pred2,pred3,pred4
배추김치,30,0.22,0.0416,0.0173,0.0032,6.61,0.02896847,0.18456779,0.60982512,0.36265544
무김치,30,0.3,0.0635,0.0129,0.0027,8.32,-0.09089893,0.40226977,0.87120012,0.48039336
물김치,30,0.2,0.0445,0.0112,0.0017,7.58,0.119477,0.392456,0.81887441,0.45958631
