item,g,calorie,carbo,protein,fat,price,pred1,pred2,pred3,pred4
표고버섯,50,0.31,0.108,0.039,0.004,18.57,0.12476021,0.13422912,0.11939469,0.14473054
도라지/더덕,50,0.56,0.13,0.017,0.0011,28,0.03305952,0.21851584,0.37309607,0.23393728
우엉/연근,100,0.69,0.153,0.026,0.0006,11.86,0.15053422,0.01298677,-0.17408377,-0.01806824
토마토,100,0.19,0.043,0.01,0.002,3.15,0.12627558,0.16553701,0.14964239,0.12634279
감자,100,0.7,0.16,0.02,0.0003,3,0.12513182,0.1308742,0.15503013,0.13124753
옥수수,100,1.64,0.34,0.048,0.016,16.6,0.10956442,0.13013757,0.17794941,0.13129898
호박,100,0.38,0.085,0.009,0.002,7.49,0.11588497,0.14169177,0.14464785,0.15411664
마늘/생강,20,1.23,0.2642,0.0745,0.0016,9.45,0.13688135,0.13253982,0.12635362,0.13157733
고추/피망/파프리카,45,0.27,0.046,0.014,0.008,15.8,0.13144952,0.1323663,0.14075938,0.1348336
